match,actual,DLM,DML,DMR,IVL,IVR,LV,OLM,ORM,RV,STL,STZ,TW,ZO,HR,LA,RA
J03WMX,DLM,7.0,0,0,0,0,0,0,1,1,0.0,0,0,0,,,
J03WMX,DML,1.0,43,3,5,3,1,1,2,0,0.0,2,0,3,,,
J03WMX,DMR,0.0,2,36,2,5,2,0,4,8,0.0,3,4,3,,,
J03WMX,IVL,0.0,3,0,65,5,2,2,0,0,0.0,0,5,0,,,
J03WMX,IVR,0.0,1,2,1,73,0,1,1,9,0.0,0,3,2,,,
J03WMX,LV,0.0,5,4,0,4,57,3,1,1,0.0,1,1,5,,,
J03WMX,OLM,0.0,1,0,0,0,2,30,3,0,0.0,2,0,4,,,
J03WMX,ORM,0.0,4,0,0,1,0,4,34,5,1.0,0,0,3,,,
J03WMX,RV,0.0,0,1,2,0,2,0,0,70,0.0,2,2,5,,,
J03WMX,STL,0.0,0,0,0,0,0,0,0,1,1.0,0,0,1,,,
J03WMX,STZ,0.0,4,4,0,0,5,2,6,4,0.0,19,0,2,,,
J03WMX,TW,0.0,0,0,6,2,1,0,0,0,0.0,0,42,0,,,
J03WMX,ZO,1.0,1,2,1,0,0,1,3,4,0.0,3,0,29,,,
J03WN1,DML,,40,6,10,2,1,0,0,1,,2,0,5,0.0,0.0,2.0
J03WN1,DMR,,2,35,3,1,2,0,1,1,,0,1,1,0.0,1.0,0.0
J03WN1,HR,,0,0,0,0,0,0,0,0,,0,0,1,1.0,0.0,0.0
J03WN1,IVL,,4,1,25,1,1,1,0,1,,0,6,0,0.0,0.0,0.0
J03WN1,IVR,,0,3,3,28,1,0,0,0,,0,2,0,0.0,0.0,0.0
J03WN1,LA,,2,3,1,2,1,0,0,0,,4,0,2,0.0,11.0,1.0
J03WN1,LV,,2,1,1,2,25,0,0,1,,1,1,0,0.0,0.0,0.0
J03WN1,OLM,,2,1,0,0,2,8,0,1,,2,0,0,0.0,0.0,0.0
J03WN1,ORM,,0,0,0,0,0,0,2,1,,0,0,0,0.0,0.0,0.0
J03WN1,RA,,4,3,0,0,0,0,0,0,,2,0,0,0.0,2.0,8.0
J03WN1,RV,,0,3,2,1,0,1,0,28,,1,1,1,1.0,0.0,0.0
J03WN1,STZ,,3,4,1,0,2,1,0,5,,11,0,5,0.0,7.0,0.0
J03WN1,TW,,1,1,4,1,0,0,0,0,,0,18,0,0.0,0.0,0.0
J03WN1,ZO,,3,6,1,0,1,2,0,7,,2,0,32,0.0,1.0,1.0
