run_id,seed,lead_s,anchor,model_variant,test_match,n,model_top1,selected_epoch,nearest_teammate,ball_direction,passer_direction
a95b7a72bb,0,0.0,emitted_sync_frame,leadsweep,J03WMX,722,0.8725761772853186,24,0.296398891966759,0.592797783933518,0.4168975069252078
a95b7a72bb,0,0.0,emitted_sync_frame,leadsweep,J03WN1,455,0.7538461538461538,24,0.3010989010989011,0.5142857142857142,0.367032967032967
a95b7a72bb,1,0.0,emitted_sync_frame,leadsweep,J03WMX,722,0.871191135734072,43,0.296398891966759,0.592797783933518,0.4168975069252078
a95b7a72bb,1,0.0,emitted_sync_frame,leadsweep,J03WN1,455,0.778021978021978,43,0.3010989010989011,0.5142857142857142,0.367032967032967
a95b7a72bb,2,0.0,emitted_sync_frame,leadsweep,J03WMX,722,0.8614958448753463,46,0.296398891966759,0.592797783933518,0.4168975069252078
a95b7a72bb,2,0.0,emitted_sync_frame,leadsweep,J03WN1,455,0.7824175824175824,46,0.3010989010989011,0.5142857142857142,0.367032967032967
a95b7a72bb,0,0.2,emitted_sync_frame,leadsweep,J03WMX,722,0.8490304709141274,31,0.2853185595567867,0.407202216066482,0.4002770083102493
a95b7a72bb,0,0.2,emitted_sync_frame,leadsweep,J03WN1,455,0.7472527472527473,31,0.2923076923076923,0.31648351648351647,0.35824175824175825
a95b7a72bb,1,0.2,emitted_sync_frame,leadsweep,J03WMX,722,0.8559556786703602,37,0.2853185595567867,0.407202216066482,0.4002770083102493
a95b7a72bb,1,0.2,emitted_sync_frame,leadsweep,J03WN1,455,0.7384615384615385,37,0.2923076923076923,0.31648351648351647,0.35824175824175825
a95b7a72bb,2,0.2,emitted_sync_frame,leadsweep,J03WMX,722,0.8379501385041551,30,0.2853185595567867,0.407202216066482,0.4002770083102493
a95b7a72bb,2,0.2,emitted_sync_frame,leadsweep,J03WN1,455,0.7274725274725274,30,0.2923076923076923,0.31648351648351647,0.35824175824175825
a95b7a72bb,0,0.4,emitted_sync_frame,leadsweep,J03WMX,722,0.6842105263157895,26,0.2742382271468144,0.3033240997229917,0.37534626038781166
a95b7a72bb,0,0.4,emitted_sync_frame,leadsweep,J03WN1,454,0.6057268722466961,26,0.2775330396475771,0.21585903083700442,0.32819383259911894
a95b7a72bb,1,0.4,emitted_sync_frame,leadsweep,J03WMX,722,0.682825484764543,41,0.2742382271468144,0.3033240997229917,0.37534626038781166
a95b7a72bb,1,0.4,emitted_sync_frame,leadsweep,J03WN1,454,0.5991189427312775,41,0.2775330396475771,0.21585903083700442,0.32819383259911894
a95b7a72bb,2,0.4,emitted_sync_frame,leadsweep,J03WMX,722,0.7049861495844876,40,0.2742382271468144,0.3033240997229917,0.37534626038781166
a95b7a72bb,2,0.4,emitted_sync_frame,leadsweep,J03WN1,454,0.5991189427312775,40,0.2775330396475771,0.21585903083700442,0.32819383259911894
a95b7a72bb,0,0.8,emitted_sync_frame,leadsweep,J03WMX,722,0.5706371191135734,29,0.2631578947368421,0.30886426592797783,0.3296398891966759
a95b7a72bb,0,0.8,emitted_sync_frame,leadsweep,J03WN1,454,0.5286343612334802,29,0.2621145374449339,0.23127753303964757,0.2422907488986784
a95b7a72bb,1,0.8,emitted_sync_frame,leadsweep,J03WMX,722,0.5623268698060941,20,0.2631578947368421,0.30886426592797783,0.3296398891966759
a95b7a72bb,1,0.8,emitted_sync_frame,leadsweep,J03WN1,454,0.5220264317180616,20,0.2621145374449339,0.23127753303964757,0.2422907488986784
a95b7a72bb,2,0.8,emitted_sync_frame,leadsweep,J03WMX,722,0.5637119113573407,36,0.2631578947368421,0.30886426592797783,0.3296398891966759
a95b7a72bb,2,0.8,emitted_sync_frame,leadsweep,J03WN1,454,0.5176211453744494,36,0.2621145374449339,0.23127753303964757,0.2422907488986784
a95b7a72bb,0,1.2,emitted_sync_frame,leadsweep,J03WMX,721,0.49653259361997226,36,0.24687933425797504,0.2912621359223301,0.3106796116504854
a95b7a72bb,0,1.2,emitted_sync_frame,leadsweep,J03WN1,454,0.4581497797356828,36,0.2422907488986784,0.23348017621145375,0.21806167400881057
a95b7a72bb,1,1.2,emitted_sync_frame,leadsweep,J03WMX,721,0.5104022191400832,29,0.24687933425797504,0.2912621359223301,0.3106796116504854
a95b7a72bb,1,1.2,emitted_sync_frame,leadsweep,J03WN1,454,0.45154185022026433,29,0.2422907488986784,0.23348017621145375,0.21806167400881057
a95b7a72bb,2,1.2,emitted_sync_frame,leadsweep,J03WMX,721,0.5173370319001387,26,0.24687933425797504,0.2912621359223301,0.3106796116504854
a95b7a72bb,2,1.2,emitted_sync_frame,leadsweep,J03WN1,454,0.45154185022026433,26,0.2422907488986784,0.23348017621145375,0.21806167400881057
