match_id,half,team_slot,eID,gameclock,timestamp,at_x,at_y,passer_slot,recipient_slot,pID,recipient,event_id
J03WMX,firstHalf,Home,Play_Pass,95.279,2023-05-27 15:31:47.509000+02:00,48.69,52.86,18,14,DFL-OBJ-002GKO,DFL-OBJ-J01BGM,
J03WMX,firstHalf,Home,Play_Cross,99.01,2023-05-27 15:31:51.240000+02:00,11.72,64.39,14,0,DFL-OBJ-J01BGM,DFL-OBJ-0027AX,
J03WMX,firstHalf,Home,Play_Pass,131.399,2023-05-27 15:32:23.629000+02:00,37.87,6.32,2,0,DFL-OBJ-00012X,DFL-OBJ-0027AX,
J03WMX,firstHalf,Home,Play_Pass,143.996,2023-05-27 15:32:36.226000+02:00,38.07,18.55,7,12,DFL-OBJ-0027B6,DFL-OBJ-002G4A,
J03WMX,firstHalf,Home,Play_Pass,192.882,2023-05-27 15:33:25.112000+02:00,67.43,21.86,0,9,DFL-OBJ-0027AX,DFL-OBJ-0028BD,
J03WMX,firstHalf,Home,Play_Pass,227.083,2023-05-27 15:33:59.313000+02:00,85.66,22.06,2,16,DFL-OBJ-00012X,DFL-OBJ-J01D1W,
J03WMX,firstHalf,Home,Play_Pass,248.492,2023-05-27 15:34:20.722000+02:00,54.9,16.95,0,4,DFL-OBJ-0027AX,DFL-OBJ-0002HE,
J03WMX,firstHalf,Home,Play_Pass,254.098,2023-05-27 15:34:26.328000+02:00,92.18,25.78,4,16,DFL-OBJ-0002HE,DFL-OBJ-J01D1W,
J03WMX,firstHalf,Home,Play_Pass,255.813,2023-05-27 15:34:28.043000+02:00,81.05,18.05,16,4,DFL-OBJ-J01D1W,DFL-OBJ-0002HE,
J03WMX,firstHalf,Home,Play_Pass,258.286,2023-05-27 15:34:30.516000+02:00,96.18,35.0,4,7,DFL-OBJ-0002HE,DFL-OBJ-0027B6,
J03WMX,firstHalf,Home,Play_Pass,260.547,2023-05-27 15:34:32.777000+02:00,81.96,59.37,7,5,DFL-OBJ-0027B6,DFL-OBJ-0002BO,
J03WMX,firstHalf,Home,Play_Pass,337.44,2023-05-27 15:35:49.670000+02:00,61.72,21.16,12,9,DFL-OBJ-002G4A,DFL-OBJ-0028BD,
J03WMX,firstHalf,Home,Play_Pass,396.148,2023-05-27 15:36:48.378000+02:00,77.75,32.8,18,14,DFL-OBJ-002GKO,DFL-OBJ-J01BGM,
J03WMX,firstHalf,Home,Play_Pass,397.664,2023-05-27 15:36:49.894000+02:00,65.63,42.12,14,0,DFL-OBJ-J01BGM,DFL-OBJ-0027AX,
J03WMX,firstHalf,Home,Play_Pass,415.016,2023-05-27 15:37:07.246000+02:00,83.26,28.28,7,12,DFL-OBJ-0027B6,DFL-OBJ-002G4A,
J03WMX,firstHalf,Home,Play_Pass,418.524,2023-05-27 15:37:10.754000+02:00,74.44,26.28,12,5,DFL-OBJ-002G4A,DFL-OBJ-0002BO,
J03WMX,firstHalf,Home,Play_Pass,443.155,2023-05-27 15:37:35.385000+02:00,44.99,26.88,12,9,DFL-OBJ-002G4A,DFL-OBJ-0028BD,
J03WMX,firstHalf,Home,Play_Pass,445.529,2023-05-27 15:37:37.759000+02:00,33.86,23.37,9,12,DFL-OBJ-0028BD,DFL-OBJ-002G4A,
J03WMX,firstHalf,Home,Play_Pass,525.218,2023-05-27 15:38:57.448000+02:00,58.21,28.88,12,0,DFL-OBJ-002G4A,DFL-OBJ-0027AX,
J03WMX,firstHalf,Home,Play_Pass,528.21,2023-05-27 15:39:00.440000+02:00,51.0,28.28,12,14,DFL-OBJ-002G4A,DFL-OBJ-J01BGM,
J03WMX,firstHalf,Home,Play_Pass,555.911,2023-05-27 15:39:28.141000+02:00,91.27,60.78,7,5,DFL-OBJ-0027B6,DFL-OBJ-0002BO,
